Barrio,Habitaciones,Viviendas
Lista,3,6
Lista,4,5
Los Angeles,1,11
Los Angeles,2,1
Los Angeles,3,4
Los Rosales,1,26
Los Rosales,3,2
Lucero,0,2
Lucero,1,47
Lucero,2,9
Lucero,3,2
Lucero,4,2
Marroquina,1,10
Marroquina,3,2
Media Legua,1,8
Media Legua,2,3
Media Legua,3,4
Media Legua,4,2
Mirasierra,0,1
Mirasierra,1,13
Mirasierra,2,1
Mirasierra,3,3
Moscardó,0,3
Moscardó,1,21
Moscardó,2,5
Moscardó,3,5
Niño Jesús,0,1
Niño Jesús,1,12
Niño Jesús,2,7
Niño Jesús,3,6
Nueva España,0,2
Nueva España,1,39
Nueva España,2,14
Nueva España,4,4
Nueva España,5,1
Numancia,0,3
Numancia,1,37
Numancia,2,10
Numancia,3,7
Numancia,4,1
Opañel,0,1
Opañel,1,50
Opañel,2,4
Opañel,3,2
Orcasitas,1,2
Orcasur,1,8
Pacífico,0,3
Pacífico,1,96
Pacífico,2,24
Pacífico,3,12
Pacífico,4,3
Palacio,0,76
Palacio,1,702
Palacio,2,214
Palacio,3,64
Palacio,4,19
Palacio,5,4
Palacio,6,4
Palomas,1,9
Palomas,3,1
Palomas,4,1
Palomas,10,1
Palomeras Bajas,0,1
Palomeras Bajas,1,26
Palomeras Bajas,2,2
Palomeras Bajas,3,3
Palomeras Bajas,4,1
Palomeras Sureste,0,2
Palomeras Sureste,1,12
Palomeras Sureste,3,1
Palos de Moguer,0,12
Palos de Moguer,1,186
Palos de Moguer,2,52
Palos de Moguer,3,9
Palos de Moguer,4,1
Palos de Moguer,5,2
Pavones,1,4
Peñagrande,0,2
Peñagrande,1,29
Peñagrande,2,4
Peñagrande,3,1
Peñagrande,5,2
Peñagrande,8,1
Pilar,0,1
Pilar,1,18
Pilar,2,5
Pilar,3,2
Pinar del Rey,1,42
Pinar del Rey,2,3
Pinar del Rey,4,2
Piovera,0,1
Piovera,1,10
Piovera,2,1
Portazgo,1,18
Portazgo,2,1
Pradolongo,1,12
Pradolongo,2,2
Prosperidad,0,2
Prosperidad,1,71
Prosperidad,2,13
Prosperidad,3,10
Prosperidad,4,2
Pueblo Nuevo,1,31
Pueblo Nuevo,2,4
Pueblo Nuevo,3,6
Puerta Bonita,1,28
Puerta Bonita,2,4
Puerta Bonita,3,5
Puerta Bonita,4,1
Puerta del Angel,0,6
Puerta del Angel,1,148
Puerta del Angel,2,37
Puerta del Angel,3,5
Puerta del Angel,4,2
Puerta del Angel,5,1
Quintana,1,34
Quintana,2,8
Quintana,3,3
Recoletos,0,19
Recoletos,1,84
Recoletos,2,46
Recoletos,3,13
Recoletos,4,8
Recoletos,5,2
Rejas,1,18
Rejas,2,1
Rejas,3,1
Rios Rosas,0,7
Rios Rosas,1,67
Rios Rosas,2,25
Rios Rosas,3,3
Rios Rosas,4,2
Rosas,1,4
Salvador,0,1
Salvador,1,9
Salvador,2,3
San Andrés,0,2
San Andrés,1,16
San Andrés,2,1
San Andrés,3,2
San Cristobal,1,6
San Cristobal,2,1
San Cristobal,3,1
San Diego,0,2
San Diego,1,65
San Diego,2,13
San Fermín,1,24
San Fermín,2,6
San Fermín,3,1
San Fermín,4,1
San Isidro,0,1
San Isidro,1,59
San Isidro,2,16
San Isidro,3,9
San Juan Bautista,1,18
San Juan Bautista,2,4
San Juan Bautista,3,3
San Juan Bautista,4,1
San Pascual,1,14
San Pascual,2,4
Santa Eugenia,1,2
Santa Eugenia,2,2
Simancas,0,3
Simancas,1,34
Simancas,2,6
Simancas,3,2
Sol,0,91
Sol,1,557
Sol,2,213
Sol,3,55
Sol,4,19
Sol,5,3
Sol,7,1
Sol,10,1
Timón,1,11
Timón,2,3
Timón,3,1
Timón,4,1
Trafalgar,0,29
Trafalgar,1,167
Trafalgar,2,68
Trafalgar,3,33
Trafalgar,4,10
Trafalgar,5,5
Trafalgar,6,3
Universidad,0,125
Universidad,1,919
Universidad,2,253
Universidad,3,38
Universidad,4,13
Universidad,5,4
Universidad,6,5
Universidad,7,1
Valdeacederas,0,6
Valdeacederas,1,34
Valdeacederas,2,7
Valdeacederas,3,1
Valdefuentes,0,2
Valdefuentes,1,36
Valdefuentes,2,9
Valdefuentes,3,5
Valdefuentes,4,1
Valdefuentes,5,1
Valdefuentes,6,1
Valdemarín,0,1
Valdemarín,1,2
Valdemarín,2,1
Valdezarza,1,18
Valdezarza,2,2
Vallehermoso,0,2
Vallehermoso,1,42
Vallehermoso,2,12
Vallehermoso,3,4
Valverde,1,31
Valverde,2,11
Valverde,3,3
Ventas,1,59
Ventas,2,14
Ventas,3,4
Ventas,4,1
Vinateros,1,14
Vinateros,2,2
Vinateros,4,1
Vista Alegre,1,64
Vista Alegre,2,3
Vista Alegre,3,6
Vista Alegre,5,1
Zofío,1,5
Zofío,2,2
Zofío,3,1
Zofío,4,1
